#format table ## [Custom WaveView] saved 23:10:13 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 2.510E-08 , 8.355E-07 , 9.822E-07 , 1.800E+00 , 5.451E-07 ,-6.821E-08 , 1.800E+00 
 2.511E-08 , 1.014E-01 , 1.534E-03 , 1.800E+00 , 4.021E-05 , 1.363E-05 , 1.800E+00 
 2.512E-08 , 1.785E-01 , 1.830E-03 , 1.800E+00 , 5.426E-05 , 2.572E-05 , 1.800E+00 
 2.512E-08 , 2.493E-01 , 1.721E-03 , 1.800E+00 , 5.905E-05 , 3.658E-05 , 1.800E+00 
 2.513E-08 , 3.319E-01 , 1.452E-03 , 1.800E+00 , 5.954E-05 , 5.030E-05 , 1.800E+00 
 2.514E-08 , 4.933E-01 , 1.178E-03 , 1.800E+00 , 5.653E-05 , 7.645E-05 , 1.800E+00 
 2.516E-08 , 6.673E-01 , 1.163E-03 , 1.800E+00 , 2.521E-05 , 1.022E-04 , 1.800E+00 
 2.517E-08 , 8.417E-01 , 1.065E-03 , 1.800E+00 ,-1.182E-04 , 1.254E-04 , 1.800E+00 
 2.519E-08 , 1.001E+00 , 8.515E-04 , 1.799E+00 ,-3.432E-04 , 1.464E-04 , 1.800E+00 
 2.520E-08 , 1.159E+00 , 4.081E-04 , 1.799E+00 ,-5.936E-04 , 1.584E-04 , 1.800E+00 
 2.521E-08 , 1.297E+00 ,-7.820E-04 , 1.797E+00 ,-7.866E-04 , 1.357E-04 , 1.800E+00 
 2.522E-08 , 1.435E+00 ,-2.862E-03 , 1.796E+00 ,-9.309E-04 , 5.339E-05 , 1.800E+00 
 2.524E-08 , 1.622E+00 ,-6.065E-03 , 1.796E+00 ,-1.022E-03 ,-1.715E-04 , 1.800E+00 
 2.525E-08 , 1.762E+00 ,-8.150E-03 , 1.795E+00 ,-9.915E-04 ,-4.156E-04 , 1.800E+00 
 2.525E-08 , 1.783E+00 ,-9.252E-03 , 1.795E+00 ,-9.601E-04 ,-5.286E-04 , 1.800E+00 
 2.526E-08 , 1.794E+00 ,-1.023E-02 , 1.796E+00 ,-9.195E-04 ,-6.451E-04 , 1.800E+00 
 2.526E-08 , 1.798E+00 ,-1.111E-02 , 1.796E+00 ,-8.557E-04 ,-8.000E-04 , 1.800E+00 
 2.528E-08 , 1.797E+00 ,-1.185E-02 , 1.796E+00 ,-7.534E-04 ,-1.074E-03 , 1.800E+00 
 2.528E-08 , 1.797E+00 ,-1.214E-02 , 1.796E+00 ,-6.919E-04 ,-1.329E-03 , 1.800E+00 
 2.530E-08 , 1.797E+00 ,-1.236E-02 , 1.796E+00 ,-6.517E-04 ,-1.680E-03 , 1.800E+00 
 2.532E-08 , 1.798E+00 ,-1.240E-02 , 1.796E+00 ,-6.387E-04 ,-2.169E-03 , 1.800E+00 
 2.534E-08 , 1.798E+00 ,-1.190E-02 , 1.797E+00 ,-6.455E-04 ,-2.746E-03 , 1.800E+00 
 2.537E-08 , 1.798E+00 ,-1.001E-02 , 1.797E+00 ,-6.756E-04 ,-2.799E-03 , 1.800E+00 
 2.541E-08 , 1.799E+00 ,-7.187E-03 , 1.796E+00 ,-7.524E-04 , 2.295E-03 , 1.800E+00 
 2.545E-08 , 1.799E+00 ,-5.154E-03 , 1.796E+00 ,-7.661E-04 , 1.710E-02 , 1.800E+00 
 2.549E-08 , 1.799E+00 ,-3.638E-03 , 1.797E+00 ,-6.511E-04 , 4.162E-02 , 1.800E+00 
 2.553E-08 , 1.799E+00 ,-2.371E-03 , 1.798E+00 ,-4.577E-04 , 7.750E-02 , 1.800E+00 
 2.557E-08 , 1.800E+00 ,-1.419E-03 , 1.799E+00 ,-2.686E-04 , 1.249E-01 , 1.800E+00 
 2.562E-08 , 1.800E+00 ,-7.550E-04 , 1.799E+00 ,-1.259E-04 , 1.886E-01 , 1.800E+00 
 2.568E-08 , 1.800E+00 ,-4.006E-04 , 1.800E+00 ,-5.216E-05 , 2.622E-01 , 1.800E+00 
 2.574E-08 , 1.800E+00 ,-2.330E-04 , 1.800E+00 ,-2.080E-05 , 3.430E-01 , 1.800E+00 
 2.581E-08 , 1.800E+00 ,-1.498E-04 , 1.800E+00 ,-8.240E-06 , 4.386E-01 , 1.800E+00 
 2.590E-08 , 1.800E+00 ,-1.040E-04 , 1.800E+00 ,-3.839E-06 , 5.614E-01 , 1.800E+00 
 2.603E-08 , 1.800E+00 ,-7.348E-05 , 1.800E+00 ,-2.357E-06 , 7.336E-01 , 1.800E+00 
 2.622E-08 , 1.800E+00 ,-5.040E-05 , 1.800E+00 ,-1.778E-06 , 9.810E-01 , 1.800E+00 
 2.638E-08 , 1.800E+00 ,-3.986E-05 , 1.800E+00 ,-1.295E-06 , 1.171E+00 , 1.800E+00 
 2.654E-08 , 1.800E+00 ,-3.151E-05 , 1.800E+00 ,-8.124E-07 , 1.336E+00 , 1.800E+00 
 2.681E-08 , 1.800E+00 ,-2.463E-05 , 1.800E+00 ,-8.374E-07 , 1.542E+00 , 1.800E+00 
 2.707E-08 , 1.800E+00 ,-2.449E-05 , 1.800E+00 ,-1.986E-06 , 1.665E+00 , 1.800E+00 
 2.738E-08 , 1.800E+00 ,-1.891E-05 , 1.800E+00 ,-1.542E-06 , 1.743E+00 , 1.800E+00 
 2.769E-08 , 1.800E+00 ,-1.334E-05 , 1.800E+00 ,-1.098E-06 , 1.778E+00 , 1.800E+00 
 2.803E-08 , 1.800E+00 ,-1.015E-05 , 1.800E+00 ,-6.117E-07 , 1.792E+00 , 1.800E+00 
 2.842E-08 , 1.800E+00 ,-8.719E-06 , 1.800E+00 ,-4.833E-08 , 1.797E+00 , 1.800E+00 
 2.893E-08 , 1.800E+00 ,-6.891E-06 , 1.800E+00 ,-3.897E-08 , 1.799E+00 , 1.800E+00 
 2.964E-08 , 1.800E+00 ,-5.678E-06 , 1.800E+00 ,-2.571E-08 , 1.799E+00 , 1.800E+00 
 3.010E-08 , 1.800E+00 ,-4.893E-06 , 1.800E+00 ,-1.714E-08 , 1.800E+00 , 1.800E+00 
 3.011E-08 , 1.733E+00 , 6.819E-02 , 1.800E+00 , 2.921E-05 , 1.800E+00 , 1.800E+00 
 3.012E-08 , 1.649E+00 , 1.530E-01 , 1.800E+00 , 4.639E-05 , 1.800E+00 , 1.800E+00 
 3.012E-08 , 1.544E+00 , 2.588E-01 , 1.800E+00 , 4.824E-05 , 1.800E+00 , 1.800E+00 
 3.014E-08 , 1.391E+00 , 4.121E-01 , 1.800E+00 , 3.909E-05 , 1.800E+00 , 1.800E+00 
 3.015E-08 , 1.218E+00 , 5.862E-01 , 1.800E+00 , 3.249E-05 , 1.800E+00 , 1.800E+00 
 3.017E-08 , 1.034E+00 , 7.745E-01 , 1.800E+00 , 3.078E-05 , 1.800E+00 , 1.800E+00 
 3.018E-08 , 8.489E-01 , 9.642E-01 , 1.800E+00 , 2.906E-05 , 1.800E+00 , 1.800E+00 
 3.020E-08 , 6.909E-01 , 1.126E+00 , 1.800E+00 , 3.028E-05 , 1.800E+00 , 1.800E+00 
 3.021E-08 , 5.416E-01 , 1.280E+00 , 1.800E+00 , 3.142E-05 , 1.800E+00 , 1.800E+00 
 3.022E-08 , 3.581E-01 , 1.467E+00 , 1.800E+00 , 2.466E-05 , 1.800E+00 , 1.800E+00 
 3.023E-08 , 2.362E-01 , 1.589E+00 , 1.800E+00 , 1.483E-05 , 1.800E+00 , 1.800E+00 
 3.024E-08 , 1.133E-01 , 1.710E+00 , 1.800E+00 , 5.010E-06 , 1.800E+00 , 1.800E+00 
 3.025E-08 , 5.230E-02 , 1.769E+00 , 1.800E+00 , 1.795E-06 , 1.800E+00 , 1.800E+00 
 3.025E-08 , 3.031E-02 , 1.788E+00 , 1.800E+00 ,-1.850E-05 , 1.800E+00 , 1.800E+00 
 3.026E-08 , 1.633E-02 , 1.798E+00 , 1.800E+00 ,-3.824E-05 , 1.800E+00 , 1.800E+00 
 3.026E-08 , 7.766E-03 , 1.802E+00 , 1.800E+00 ,-5.448E-05 , 1.800E+00 , 1.800E+00 
 3.027E-08 , 4.275E-03 , 1.802E+00 , 1.800E+00 ,-5.691E-05 , 1.800E+00 , 1.800E+00 
 3.028E-08 , 3.440E-03 , 1.801E+00 , 1.800E+00 ,-4.926E-05 , 1.800E+00 , 1.800E+00 
 3.029E-08 , 2.354E-03 , 1.800E+00 , 1.800E+00 ,-4.113E-05 , 1.800E+00 , 1.800E+00 
 3.031E-08 , 8.410E-04 , 1.800E+00 , 1.800E+00 ,-3.088E-05 , 1.800E+00 , 1.800E+00 
 3.033E-08 , 2.557E-04 , 1.800E+00 , 1.800E+00 ,-2.290E-05 , 1.800E+00 , 1.800E+00 
 3.035E-08 , 8.246E-05 , 1.800E+00 , 1.800E+00 ,-1.580E-05 , 1.800E+00 , 1.800E+00 
 3.039E-08 , 3.213E-05 , 1.800E+00 , 1.800E+00 ,-8.903E-06 , 1.800E+00 , 1.800E+00 
 3.044E-08 , 2.027E-05 , 1.800E+00 , 1.800E+00 ,-4.238E-06 , 1.800E+00 , 1.800E+00 
 3.051E-08 , 1.169E-05 , 1.800E+00 , 1.800E+00 ,-1.323E-06 , 1.800E+00 , 1.800E+00 
 3.065E-08 , 1.630E-06 , 1.800E+00 , 1.800E+00 ,-3.049E-07 , 1.800E+00 , 1.800E+00 
 3.087E-08 ,-8.417E-07 , 1.800E+00 , 1.800E+00 ,-3.049E-07 , 1.800E+00 , 1.800E+00 
 3.121E-08 , 1.516E-07 , 1.800E+00 , 1.800E+00 ,-3.048E-07 , 1.800E+00 , 1.800E+00 
 3.191E-08 , 1.229E-07 , 1.800E+00 , 1.800E+00 ,-1.946E-07 , 1.800E+00 , 1.800E+00 
 3.330E-08 , 6.550E-08 , 1.800E+00 , 1.800E+00 , 2.596E-08 , 1.800E+00 , 1.800E+00 
 3.510E-08 ,-8.908E-09 , 1.800E+00 , 1.800E+00 ,-5.485E-09 , 1.800E+00 , 1.800E+00 
 3.511E-08 , 1.294E-01 , 1.801E+00 , 1.800E+00 , 7.989E-06 , 1.800E+00 , 1.800E+00 
 3.513E-08 , 2.833E-01 , 1.801E+00 , 1.800E+00 , 9.832E-06 , 1.800E+00 , 1.800E+00 
 3.514E-08 , 4.443E-01 , 1.801E+00 , 1.800E+00 , 8.352E-06 , 1.800E+00 , 1.800E+00 
 3.516E-08 , 6.655E-01 , 1.801E+00 , 1.800E+00 , 8.193E-06 , 1.800E+00 , 1.800E+00 
 3.518E-08 , 9.306E-01 , 1.801E+00 , 1.800E+00 , 6.422E-06 , 1.800E+00 , 1.800E+00 
 3.522E-08 , 1.356E+00 , 1.801E+00 , 1.800E+00 , 1.089E-06 , 1.800E+00 , 1.800E+00 
 3.524E-08 , 1.694E+00 , 1.801E+00 , 1.800E+00 ,-1.177E-06 , 1.800E+00 , 1.800E+00 
 3.525E-08 , 1.764E+00 , 1.801E+00 , 1.800E+00 ,-1.649E-06 , 1.800E+00 , 1.800E+00 
 3.525E-08 , 1.785E+00 , 1.801E+00 , 1.800E+00 ,-9.397E-06 , 1.800E+00 , 1.800E+00 
 3.526E-08 , 1.796E+00 , 1.800E+00 , 1.800E+00 ,-1.542E-05 , 1.800E+00 , 1.800E+00 
 3.526E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.769E-05 , 1.800E+00 , 1.800E+00 
 3.527E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.280E-05 , 1.800E+00 , 1.800E+00 
 3.528E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-8.307E-06 , 1.800E+00 , 1.800E+00 
 3.529E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-5.846E-06 , 1.800E+00 , 1.800E+00 
 3.532E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-4.374E-06 , 1.800E+00 , 1.800E+00 
 3.536E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.679E-06 , 1.800E+00 , 1.800E+00 
 3.544E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.247E-07 , 1.800E+00 , 1.800E+00 
 3.561E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-2.143E-07 , 1.800E+00 , 1.800E+00 
 3.589E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-3.649E-07 , 1.800E+00 , 1.800E+00 
 3.644E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-2.320E-07 , 1.800E+00 , 1.800E+00 
 3.756E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 3.380E-08 , 1.800E+00 , 1.800E+00 
 4.010E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-6.371E-09 , 1.800E+00 , 1.800E+00 
 4.011E-08 , 1.732E+00 , 1.731E+00 , 1.732E+00 , 6.307E-02 , 1.800E+00 , 1.800E+00 
 4.012E-08 , 1.648E+00 , 1.647E+00 , 1.648E+00 , 1.439E-01 , 1.800E+00 , 1.800E+00 
 4.012E-08 , 1.546E+00 , 1.545E+00 , 1.546E+00 , 2.444E-01 , 1.800E+00 , 1.800E+00 
 4.014E-08 , 1.403E+00 , 1.401E+00 , 1.402E+00 , 3.879E-01 , 1.800E+00 , 1.800E+00 
 4.015E-08 , 1.238E+00 , 1.236E+00 , 1.239E+00 , 5.528E-01 , 1.800E+00 , 1.800E+00 
 4.017E-08 , 9.890E-01 , 9.852E-01 , 9.889E-01 , 8.040E-01 , 1.800E+00 , 1.800E+00 
