#format table ## [Custom WaveView] saved 22:50:32 Tue Apr 23 2024
XVAL ,v(/a) ,v(/b) ,v(/c) ,v(/d) ,v(/f) ,v(/vdd!) 
 2.514E-08 , 4.125E-01 , 8.976E-04 , 1.800E+00 , 4.870E-05 , 5.238E-05 , 1.800E+00 
 2.515E-08 , 5.755E-01 , 7.928E-04 , 1.800E+00 , 3.287E-05 , 7.374E-05 , 1.800E+00 
 2.516E-08 , 6.957E-01 , 7.580E-04 , 1.800E+00 ,-5.021E-05 , 8.954E-05 , 1.800E+00 
 2.517E-08 , 8.161E-01 , 6.252E-04 , 1.800E+00 ,-2.679E-04 , 1.032E-04 , 1.800E+00 
 2.518E-08 , 9.212E-01 , 4.224E-04 , 1.799E+00 ,-5.528E-04 , 1.151E-04 , 1.800E+00 
 2.519E-08 , 1.039E+00 , 2.714E-05 , 1.798E+00 ,-8.752E-04 , 1.222E-04 , 1.800E+00 
 2.520E-08 , 1.140E+00 ,-7.969E-04 , 1.797E+00 ,-1.033E-03 , 1.073E-04 , 1.800E+00 
 2.521E-08 , 1.242E+00 ,-2.335E-03 , 1.796E+00 ,-1.062E-03 , 5.655E-05 , 1.800E+00 
 2.522E-08 , 1.375E+00 ,-5.094E-03 , 1.796E+00 ,-1.003E-03 ,-7.361E-05 , 1.800E+00 
 2.523E-08 , 1.540E+00 ,-8.197E-03 , 1.796E+00 ,-8.514E-04 ,-3.203E-04 , 1.800E+00 
 2.524E-08 , 1.696E+00 ,-1.016E-02 , 1.796E+00 ,-6.798E-04 ,-6.108E-04 , 1.800E+00 
 2.525E-08 , 1.770E+00 ,-1.080E-02 , 1.796E+00 ,-6.190E-04 ,-7.587E-04 , 1.800E+00 
 2.525E-08 , 1.787E+00 ,-1.144E-02 , 1.797E+00 ,-5.971E-04 ,-8.491E-04 , 1.800E+00 
 2.526E-08 , 1.795E+00 ,-1.200E-02 , 1.797E+00 ,-5.680E-04 ,-9.396E-04 , 1.800E+00 
 2.526E-08 , 1.798E+00 ,-1.247E-02 , 1.797E+00 ,-5.185E-04 ,-1.067E-03 , 1.800E+00 
 2.527E-08 , 1.798E+00 ,-1.270E-02 , 1.797E+00 ,-4.549E-04 ,-1.270E-03 , 1.800E+00 
 2.528E-08 , 1.798E+00 ,-1.272E-02 , 1.797E+00 ,-4.285E-04 ,-1.473E-03 , 1.800E+00 
 2.529E-08 , 1.798E+00 ,-1.267E-02 , 1.797E+00 ,-4.267E-04 ,-1.765E-03 , 1.800E+00 
 2.531E-08 , 1.798E+00 ,-1.233E-02 , 1.797E+00 ,-4.402E-04 ,-2.237E-03 , 1.800E+00 
 2.534E-08 , 1.798E+00 ,-1.076E-02 , 1.797E+00 ,-4.596E-04 ,-2.605E-03 , 1.800E+00 
 2.538E-08 , 1.799E+00 ,-7.761E-03 , 1.797E+00 ,-5.148E-04 , 1.841E-04 , 1.800E+00 
 2.541E-08 , 1.799E+00 ,-5.420E-03 , 1.797E+00 ,-5.875E-04 , 1.071E-02 , 1.800E+00 
 2.545E-08 , 1.799E+00 ,-3.843E-03 , 1.797E+00 ,-5.780E-04 , 3.091E-02 , 1.800E+00 
 2.548E-08 , 1.799E+00 ,-2.547E-03 , 1.798E+00 ,-4.416E-04 , 6.187E-02 , 1.800E+00 
 2.552E-08 , 1.800E+00 ,-1.590E-03 , 1.799E+00 ,-2.751E-04 , 1.007E-01 , 1.800E+00 
 2.557E-08 , 1.800E+00 ,-8.870E-04 , 1.799E+00 ,-1.369E-04 , 1.533E-01 , 1.800E+00 
 2.562E-08 , 1.800E+00 ,-4.608E-04 , 1.800E+00 ,-5.424E-05 , 2.217E-01 , 1.800E+00 
 2.567E-08 , 1.800E+00 ,-2.720E-04 , 1.800E+00 ,-2.132E-05 , 2.927E-01 , 1.800E+00 
 2.573E-08 , 1.800E+00 ,-1.787E-04 , 1.800E+00 ,-8.452E-06 , 3.733E-01 , 1.800E+00 
 2.581E-08 , 1.800E+00 ,-1.253E-04 , 1.800E+00 ,-3.851E-06 , 4.756E-01 , 1.800E+00 
 2.592E-08 , 1.800E+00 ,-8.733E-05 , 1.800E+00 ,-2.295E-06 , 6.278E-01 , 1.800E+00 
 2.606E-08 , 1.800E+00 ,-6.152E-05 , 1.800E+00 ,-1.761E-06 , 8.177E-01 , 1.800E+00 
 2.631E-08 , 1.800E+00 ,-4.009E-05 , 1.800E+00 ,-8.524E-07 , 1.120E+00 , 1.800E+00 
 2.646E-08 , 1.800E+00 ,-3.285E-05 , 1.800E+00 ,-8.552E-07 , 1.283E+00 , 1.800E+00 
 2.661E-08 , 1.800E+00 ,-2.562E-05 , 1.800E+00 ,-8.580E-07 , 1.420E+00 , 1.800E+00 
 2.683E-08 , 1.800E+00 ,-2.386E-05 , 1.800E+00 ,-8.620E-07 , 1.568E+00 , 1.800E+00 
 2.714E-08 , 1.800E+00 ,-2.131E-05 , 1.800E+00 ,-1.481E-06 , 1.696E+00 , 1.800E+00 
 2.746E-08 , 1.800E+00 ,-1.553E-05 , 1.800E+00 ,-1.016E-06 , 1.758E+00 , 1.800E+00 
 2.775E-08 , 1.800E+00 ,-1.172E-05 , 1.800E+00 ,-5.818E-07 , 1.783E+00 , 1.800E+00 
 2.810E-08 , 1.800E+00 ,-9.356E-06 , 1.800E+00 ,-5.887E-08 , 1.794E+00 , 1.800E+00 
 2.853E-08 , 1.800E+00 ,-8.040E-06 , 1.800E+00 ,-4.873E-08 , 1.798E+00 , 1.800E+00 
 2.908E-08 , 1.800E+00 ,-6.327E-06 , 1.800E+00 ,-3.551E-08 , 1.799E+00 , 1.800E+00 
 2.989E-08 , 1.800E+00 ,-5.061E-06 , 1.800E+00 ,-1.626E-08 , 1.799E+00 , 1.800E+00 
 3.010E-08 , 1.800E+00 ,-4.735E-06 , 1.800E+00 ,-1.130E-08 , 1.800E+00 , 1.800E+00 
 3.011E-08 , 1.730E+00 , 7.121E-02 , 1.800E+00 , 1.772E-05 , 1.800E+00 , 1.800E+00 
 3.012E-08 , 1.645E+00 , 1.571E-01 , 1.800E+00 , 2.918E-05 , 1.800E+00 , 1.800E+00 
 3.012E-08 , 1.529E+00 , 2.742E-01 , 1.800E+00 , 3.148E-05 , 1.800E+00 , 1.800E+00 
 3.014E-08 , 1.379E+00 , 4.247E-01 , 1.800E+00 , 2.613E-05 , 1.800E+00 , 1.800E+00 
 3.015E-08 , 1.182E+00 , 6.239E-01 , 1.800E+00 , 2.234E-05 , 1.800E+00 , 1.800E+00 
 3.017E-08 , 1.030E+00 , 7.794E-01 , 1.800E+00 , 2.074E-05 , 1.800E+00 , 1.800E+00 
 3.018E-08 , 8.772E-01 , 9.360E-01 , 1.800E+00 , 1.797E-05 , 1.800E+00 , 1.800E+00 
 3.019E-08 , 7.255E-01 , 1.092E+00 , 1.800E+00 , 1.749E-05 , 1.800E+00 , 1.800E+00 
 3.020E-08 , 5.815E-01 , 1.240E+00 , 1.800E+00 , 1.810E-05 , 1.800E+00 , 1.800E+00 
 3.022E-08 , 4.149E-01 , 1.410E+00 , 1.800E+00 , 1.190E-05 , 1.800E+00 , 1.800E+00 
 3.023E-08 , 2.256E-01 , 1.599E+00 , 1.800E+00 , 1.914E-06 , 1.800E+00 , 1.800E+00 
 3.025E-08 , 4.256E-02 , 1.777E+00 , 1.800E+00 ,-1.843E-06 , 1.800E+00 , 1.800E+00 
 3.025E-08 , 1.972E-02 , 1.795E+00 , 1.800E+00 ,-2.359E-05 , 1.800E+00 , 1.800E+00 
 3.026E-08 , 8.298E-03 , 1.801E+00 , 1.800E+00 ,-3.723E-05 , 1.800E+00 , 1.800E+00 
 3.027E-08 , 3.796E-03 , 1.802E+00 , 1.800E+00 ,-3.975E-05 , 1.800E+00 , 1.800E+00 
 3.028E-08 , 2.735E-03 , 1.801E+00 , 1.800E+00 ,-3.204E-05 , 1.800E+00 , 1.800E+00 
 3.028E-08 , 2.033E-03 , 1.800E+00 , 1.800E+00 ,-2.598E-05 , 1.800E+00 , 1.800E+00 
 3.030E-08 , 9.952E-04 , 1.800E+00 , 1.800E+00 ,-2.115E-05 , 1.800E+00 , 1.800E+00 
 3.032E-08 , 2.442E-04 , 1.800E+00 , 1.800E+00 ,-1.510E-05 , 1.800E+00 , 1.800E+00 
 3.034E-08 , 6.411E-05 , 1.800E+00 , 1.800E+00 ,-9.815E-06 , 1.800E+00 , 1.800E+00 
 3.037E-08 , 3.015E-05 , 1.800E+00 , 1.800E+00 ,-5.708E-06 , 1.800E+00 , 1.800E+00 
 3.042E-08 , 2.161E-05 , 1.800E+00 , 1.800E+00 ,-2.376E-06 , 1.800E+00 , 1.800E+00 
 3.049E-08 , 1.278E-05 , 1.800E+00 , 1.800E+00 ,-6.508E-07 , 1.800E+00 , 1.800E+00 
 3.062E-08 , 1.760E-06 , 1.800E+00 , 1.800E+00 ,-5.423E-07 , 1.800E+00 , 1.800E+00 
 3.085E-08 ,-1.067E-06 , 1.800E+00 , 1.800E+00 ,-3.535E-07 , 1.800E+00 , 1.800E+00 
 3.123E-08 , 2.492E-07 , 1.800E+00 , 1.800E+00 ,-3.015E-07 , 1.800E+00 , 1.800E+00 
 3.199E-08 , 1.979E-07 , 1.800E+00 , 1.800E+00 ,-1.976E-07 , 1.800E+00 , 1.800E+00 
 3.352E-08 , 9.517E-08 , 1.800E+00 , 1.800E+00 , 1.015E-08 , 1.800E+00 , 1.800E+00 
 3.510E-08 ,-1.138E-08 , 1.800E+00 , 1.800E+00 ,-2.305E-09 , 1.800E+00 , 1.800E+00 
 3.511E-08 , 1.340E-01 , 1.800E+00 , 1.800E+00 , 6.773E-06 , 1.800E+00 , 1.800E+00 
 3.513E-08 , 2.898E-01 , 1.800E+00 , 1.800E+00 , 6.603E-06 , 1.800E+00 , 1.800E+00 
 3.514E-08 , 4.586E-01 , 1.800E+00 , 1.800E+00 , 4.959E-06 , 1.800E+00 , 1.800E+00 
 3.516E-08 , 6.622E-01 , 1.800E+00 , 1.800E+00 , 6.371E-06 , 1.800E+00 , 1.800E+00 
 3.518E-08 , 9.613E-01 , 1.800E+00 , 1.800E+00 , 4.169E-06 , 1.800E+00 , 1.800E+00 
 3.522E-08 , 1.384E+00 , 1.801E+00 , 1.800E+00 ,-5.037E-07 , 1.800E+00 , 1.800E+00 
 3.525E-08 , 1.773E+00 , 1.801E+00 , 1.800E+00 ,-1.491E-06 , 1.800E+00 , 1.800E+00 
 3.526E-08 , 1.795E+00 , 1.800E+00 , 1.800E+00 ,-1.184E-05 , 1.800E+00 , 1.800E+00 
 3.527E-08 , 1.801E+00 , 1.800E+00 , 1.800E+00 ,-1.026E-05 , 1.800E+00 , 1.800E+00 
 3.528E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-4.822E-06 , 1.800E+00 , 1.800E+00 
 3.530E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-2.388E-06 , 1.800E+00 , 1.800E+00 
 3.532E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.903E-06 , 1.800E+00 , 1.800E+00 
 3.536E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-9.352E-07 , 1.800E+00 , 1.800E+00 
 3.544E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.005E-08 , 1.800E+00 , 1.800E+00 
 3.558E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-6.537E-08 , 1.800E+00 , 1.800E+00 
 3.587E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-2.162E-07 , 1.800E+00 , 1.800E+00 
 3.644E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.377E-07 , 1.800E+00 , 1.800E+00 
 3.759E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.942E-08 , 1.800E+00 , 1.800E+00 
 4.010E-08 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-2.843E-09 , 1.800E+00 , 1.800E+00 
 4.011E-08 , 1.730E+00 , 1.729E+00 , 1.729E+00 , 6.497E-02 , 1.800E+00 , 1.800E+00 
 4.012E-08 , 1.645E+00 , 1.643E+00 , 1.644E+00 , 1.464E-01 , 1.800E+00 , 1.800E+00 
 4.012E-08 , 1.542E+00 , 1.540E+00 , 1.541E+00 , 2.489E-01 , 1.800E+00 , 1.800E+00 
 4.014E-08 , 1.397E+00 , 1.395E+00 , 1.396E+00 , 3.940E-01 , 1.800E+00 , 1.800E+00 
 4.015E-08 , 1.228E+00 , 1.226E+00 , 1.228E+00 , 5.633E-01 , 1.800E+00 , 1.800E+00 
 4.017E-08 , 9.427E-01 , 9.377E-01 , 9.411E-01 , 8.510E-01 , 1.800E+00 , 1.800E+00 
 4.019E-08 , 7.430E-01 , 7.377E-01 , 7.376E-01 , 1.054E+00 , 1.800E+00 , 1.800E+00 
 4.021E-08 , 5.420E-01 , 5.376E-01 , 5.327E-01 , 1.259E+00 , 1.801E+00 , 1.800E+00 
 4.022E-08 , 3.581E-01 , 3.551E-01 , 3.480E-01 , 1.446E+00 , 1.801E+00 , 1.800E+00 
