#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 2.098E-08 , 3.356E-05 , 9.130E-05 , 1.800E+00 ,-6.069E-05 , 8.021E-03 
 2.109E-08 , 1.144E-05 , 3.115E-05 , 1.800E+00 ,-5.016E-05 , 4.715E-03 
 2.125E-08 , 5.491E-06 , 1.485E-05 , 1.800E+00 ,-3.893E-05 , 2.215E-03 
 2.147E-08 , 3.949E-06 , 9.646E-06 , 1.800E+00 ,-2.947E-05 , 9.182E-04 
 2.184E-08 , 1.401E-06 , 3.784E-06 , 1.800E+00 ,-2.071E-05 , 4.152E-04 
 2.233E-08 , 1.630E-07 , 4.531E-07 , 1.800E+00 ,-1.447E-05 , 3.137E-04 
 2.301E-08 , 1.326E-07 , 3.475E-07 , 1.800E+00 ,-1.012E-05 , 2.052E-04 
 2.406E-08 , 8.531E-08 , 1.828E-07 , 1.800E+00 ,-6.792E-06 , 9.170E-05 
 2.520E-08 , 3.424E-08 , 9.341E-08 , 1.800E+00 ,-5.080E-06 , 5.813E-05 
 2.521E-08 , 7.551E-02 , 1.217E-03 , 1.800E+00 ,-1.601E-06 , 6.597E-05 
 2.521E-08 , 1.740E-01 , 2.077E-03 , 1.800E+00 , 8.757E-07 , 7.658E-05 
 2.522E-08 , 2.857E-01 , 2.313E-03 , 1.800E+00 , 1.567E-06 , 8.894E-05 
 2.523E-08 , 4.760E-01 , 2.021E-03 , 1.800E+00 , 3.822E-07 , 1.101E-04 
 2.524E-08 , 6.513E-01 , 1.609E-03 , 1.800E+00 ,-2.809E-06 , 1.258E-04 
 2.525E-08 , 8.622E-01 , 3.140E-04 , 1.800E+00 ,-1.504E-05 , 1.165E-04 
 2.527E-08 , 1.131E+00 ,-3.115E-03 , 1.800E+00 ,-3.674E-05 , 2.703E-05 
 2.528E-08 , 1.405E+00 ,-9.342E-03 , 1.800E+00 ,-5.699E-05 ,-1.732E-04 
 2.530E-08 , 1.656E+00 ,-1.529E-02 , 1.800E+00 ,-6.834E-05 ,-4.623E-04 
 2.530E-08 , 1.743E+00 ,-1.717E-02 , 1.800E+00 ,-7.017E-05 ,-5.857E-04 
 2.530E-08 , 1.768E+00 ,-1.852E-02 , 1.800E+00 ,-7.124E-05 ,-6.651E-04 
 2.531E-08 , 1.784E+00 ,-1.975E-02 , 1.800E+00 ,-7.040E-05 ,-7.444E-04 
 2.531E-08 , 1.793E+00 ,-2.092E-02 , 1.800E+00 ,-6.659E-05 ,-8.501E-04 
 2.532E-08 , 1.796E+00 ,-2.173E-02 , 1.800E+00 ,-5.634E-05 ,-1.024E-03 
 2.532E-08 , 1.795E+00 ,-2.170E-02 , 1.800E+00 ,-4.532E-05 ,-1.208E-03 
 2.533E-08 , 1.795E+00 ,-2.128E-02 , 1.800E+00 ,-3.491E-05 ,-1.410E-03 
 2.534E-08 , 1.796E+00 ,-1.965E-02 , 1.800E+00 ,-8.036E-06 ,-1.793E-03 
 2.536E-08 , 1.797E+00 ,-1.637E-02 , 1.800E+00 , 1.330E-04 ,-2.154E-03 
 2.538E-08 , 1.797E+00 ,-1.347E-02 , 1.800E+00 , 3.909E-04 ,-2.248E-03 
 2.539E-08 , 1.798E+00 ,-1.083E-02 , 1.800E+00 , 7.867E-04 ,-2.046E-03 
 2.541E-08 , 1.798E+00 ,-8.932E-03 , 1.800E+00 , 1.391E-03 ,-1.326E-03 
