#format table ## [Custom WaveView] saved 15:29:31 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 2.028E-08 , 4.770E-01 , 4.687E-01 , 1.326E+00 ,-7.927E-03 ,-3.465E-04 
 2.029E-08 , 2.170E-01 , 2.109E-01 , 1.589E+00 ,-1.404E-02 ,-8.507E-04 
 2.030E-08 , 5.012E-02 , 4.571E-02 , 1.756E+00 ,-1.759E-02 ,-1.274E-03 
 2.031E-08 , 1.832E-02 , 1.757E-02 , 1.784E+00 ,-1.944E-02 ,-1.534E-03 
 2.031E-08 , 4.165E-03 , 6.196E-03 , 1.795E+00 ,-2.062E-02 ,-1.793E-03 
 2.032E-08 , 5.608E-04 , 3.984E-03 , 1.796E+00 ,-2.104E-02 ,-2.074E-03 
 2.032E-08 , 8.802E-04 , 4.477E-03 , 1.796E+00 ,-2.065E-02 ,-2.484E-03 
 2.033E-08 , 1.129E-03 , 4.395E-03 , 1.796E+00 ,-1.953E-02 ,-2.902E-03 
 2.035E-08 , 7.991E-04 , 3.868E-03 , 1.796E+00 ,-1.721E-02 ,-3.209E-03 
 2.037E-08 , 5.246E-04 , 3.481E-03 , 1.797E+00 ,-1.408E-02 ,-1.716E-03 
 2.039E-08 , 4.987E-04 , 3.278E-03 , 1.798E+00 ,-1.164E-02 , 3.517E-03 
 2.041E-08 , 5.303E-04 , 3.331E-03 , 1.798E+00 ,-9.506E-03 , 1.303E-02 
 2.042E-08 , 5.605E-04 , 3.409E-03 , 1.798E+00 ,-7.394E-03 , 2.214E-02 
 2.044E-08 , 6.477E-04 , 3.574E-03 , 1.798E+00 ,-5.104E-03 , 3.072E-02 
 2.046E-08 , 9.159E-04 , 4.127E-03 , 1.799E+00 ,-2.703E-03 , 3.900E-02 
 2.048E-08 , 1.234E-03 , 4.854E-03 , 1.800E+00 ,-1.497E-03 , 4.306E-02 
 2.049E-08 , 1.588E-03 , 5.762E-03 , 1.800E+00 ,-7.935E-04 , 4.524E-02 
 2.052E-08 , 1.859E-03 , 6.333E-03 , 1.800E+00 ,-4.235E-04 , 4.565E-02 
